0,930
1,931
2,932
3,933
4,934
5,935
6,936
7,937
8,938
9,939
10,940
11,941
12,942
13,943
14,944
15,945
16,946
17,947
18,948
19,949
20,950
21,951
22,952
23,953
24,954
25,955
26,956
27,957
28,958
29,959
30,1000
31,1001
32,1002
33,1003
34,1004
35,1005
36,1006
37,1007
38,1008
39,1009
40,1010
41,1011
42,1012
43,1013
44,1014
45,1015
46,1016
47,1017
48,1018
49,1019
50,1020
51,1021
52,1022
53,1023
54,1024
55,1025
56,1026
57,1027
58,1028
59,1029
60,1030
61,1031
62,1032
63,1033
64,1034
65,1035
66,1036
67,1037
68,1038
69,1039
70,1040
71,1041
72,1042
73,1043
74,1044
75,1045
76,1046
77,1047
78,1048
79,1049
80,1050
81,1051
82,1052
83,1053
84,1054
85,1055
86,1056
87,1057
88,1058
89,1059
90,1100
91,1101
92,1102
93,1103
94,1104
95,1105
96,1106
97,1107
98,1108
99,1109
100,1110
101,1111
102,1112
103,1113
104,1114
105,1115
106,1116
107,1117
108,1118
109,1119
110,1120
111,1121
112,1122
113,1123
114,1124
115,1125
116,1126
117,1127
118,1128
119,1129
120,1130
121,1301
122,1302
123,1303
124,1304
125,1305
126,1306
127,1307
128,1308
129,1309
130,1310
131,1311
132,1312
133,1313
134,1314
135,1315
136,1316
137,1317
138,1318
139,1319
140,1320
141,1321
142,1322
143,1323
144,1324
145,1325
146,1326
147,1327
148,1328
149,1329
150,1330
151,1331
152,1332
153,1333
154,1334
155,1335
156,1336
157,1337
158,1338
159,1339
160,1340
161,1341
162,1342
163,1343
164,1344
165,1345
166,1346
167,1347
168,1348
169,1349
170,1350
171,1351
172,1352
173,1353
174,1354
175,1355
176,1356
177,1357
178,1358
179,1359
180,1400
181,1401
182,1402
183,1403
184,1404
185,1405
186,1406
187,1407
188,1408
189,1409
190,1410
191,1411
192,1412
193,1413
194,1414
195,1415
196,1416
197,1417
198,1418
199,1419
200,1420
201,1421
202,1422
203,1423
204,1424
205,1425
206,1426
207,1427
208,1428
209,1429
210,1430
211,1431
212,1432
213,1433
214,1434
215,1435
216,1436
217,1437
218,1438
219,1439
220,1440
221,1441
222,1442
223,1443
224,1444
225,1445
226,1446
227,1447
228,1448
229,1449
230,1450
231,1451
232,1452
233,1453
234,1454
235,1455
236,1456
237,1457
238,1458
239,1459
240,1500
